"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2019","11,017.00","11,063.90","11,076.30","10,985.30","444.72K","-0.33%"
"Aug 19, 2019","11,053.90","11,094.80","11,146.90","11,037.85","369.49K","0.06%"
"Aug 16, 2019","11,047.80","11,043.65","11,068.65","10,924.30","470.91K","0.17%"
"Aug 14, 2019","11,029.40","11,003.25","11,078.15","10,935.60","511.54K","0.95%"
"Aug 13, 2019","10,925.85","11,139.40","11,145.90","10,901.60","624.64K","-1.65%"
"Aug 09, 2019","11,109.65","11,087.90","11,181.45","11,062.80","538.06K","0.70%"
"Aug 08, 2019","11,032.45","10,899.20","11,058.05","10,842.95","482.47K","1.63%"
"Aug 07, 2019","10,855.50","10,958.10","10,975.65","10,835.90","548.47K","-0.85%"
"Aug 06, 2019","10,948.25","10,815.40","11,018.55","10,813.80","517.89K","0.79%"
"Aug 05, 2019","10,862.60","10,895.80","10,895.80","10,782.60","506.56K","-1.23%"
"Aug 02, 2019","10,997.35","10,930.30","11,080.15","10,848.95","547.42K","0.16%"
"Aug 01, 2019","10,980.00","11,060.20","11,076.75","10,881.00","499.92K","-1.24%"
"Jul 31, 2019","11,118.00","11,034.05","11,145.30","10,999.40","536.69K","0.29%"
"Jul 30, 2019","11,085.40","11,213.70","11,267.45","11,072.65","479.06K","-0.93%"
"Jul 29, 2019","11,189.20","11,307.50","11,310.95","11,152.40","482.86K","-0.84%"
"Jul 26, 2019","11,284.30","11,247.45","11,307.60","11,210.05","522.67K","0.29%"
"Jul 25, 2019","11,252.15","11,290.40","11,361.40","11,239.35","553.68K","-0.17%"
"Jul 24, 2019","11,271.30","11,322.45","11,359.75","11,229.80","413.20K","-0.53%"
"Jul 23, 2019","11,331.05","11,372.25","11,398.15","11,302.80","458.93K","-0.13%"
"Jul 22, 2019","11,346.20","11,392.85","11,398.15","11,301.25","516.04K","-0.64%"
"Jul 19, 2019","11,419.25","11,627.95","11,640.35","11,399.30","446.05K","-1.53%"
"Jul 18, 2019","11,596.90","11,675.60","11,677.15","11,582.40","498.26K","-0.78%"
"Jul 17, 2019","11,687.50","11,670.75","11,706.65","11,651.15","464.83K","0.21%"
"Jul 16, 2019","11,662.60","11,596.65","11,670.05","11,573.95","480.16K","0.64%"
"Jul 15, 2019","11,588.35","11,614.75","11,618.40","11,532.30","368.79K","0.31%"
"Jul 12, 2019","11,552.50","11,601.15","11,639.55","11,538.60","359.42K","-0.26%"
"Jul 11, 2019","11,582.90","11,561.45","11,599.00","11,519.50","317.26K","0.73%"
"Jul 10, 2019","11,498.90","11,536.15","11,593.70","11,475.65","337.57K","-0.49%"
"Jul 09, 2019","11,555.90","11,531.60","11,582.55","11,461.00","442.52K","-0.02%"
"Jul 08, 2019","11,558.60","11,770.40","11,771.90","11,523.30","464.03K","-2.14%"
"Jul 05, 2019","11,811.15","11,964.75","11,981.75","11,797.90","530.72K","-1.14%"
"Jul 04, 2019","11,946.75","11,928.80","11,969.25","11,923.65","333.60K","0.25%"
"Jul 03, 2019","11,916.75","11,932.15","11,945.20","11,887.05","340.53K","0.05%"
